source_id,agency,dataset,vintage,url,use_in_case
census_gazetteer_2020,U.S. Census Bureau,National Places Gazetteer,2020,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,representative latitude and longitude
census_population_2025,U.S. Census Bureau,Annual Estimates for Incorporated Places,2025,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx,destination population weights
faf5_context,FHWA and BTS,Freight Analysis Framework,5,https://ops.fhwa.dot.gov/freight/freight_analysis/faf/,national freight context only; no FAF value is used in calibration
