vehicles_per_class,formulation,variables,integer_variables,median_seconds,q1_seconds,q3_seconds,proven_optima,incumbents
10,A,210,70,0.06003825000152574,0.04669137499968201,0.07024557500062656,10/10,10/10
10,L,2100,700,5.455873700000666,3.836336699999265,7.554505225001776,9/10,10/10
10,SB,2100,700,19.815803649998998,12.538478499999655,30.019037924997974,6/10,10/10
20,A,210,70,0.055441299999074545,0.040670725000381935,0.1015350749994468,10/10,10/10
20,L,4200,1400,15.418811749999804,13.588870974997917,18.759951899999578,8/10,10/10
20,SB,4200,1400,21.207423000001654,17.918921300000875,28.354629575000217,7/10,10/10
30,A,210,70,0.03719505000117351,0.0337271749995125,0.06830829999944399,10/10,10/10
30,L,6300,2100,12.933392750001076,5.994225549998191,27.168972675000987,7/10,10/10
30,SB,6300,2100,25.563839099997494,22.55892217499968,29.82581452500108,7/10,10/10
