family,vehicles_per_class,aggregate_time_seconds,labeled_time_seconds,aggregate_optima,labeled_optima,labeled_incumbents,lp_gap_percent,max_incumbent_gap_percent,max_lp_difference,labeled_lp_time_seconds
LF2,50,0.0925072000009095,5.077487599999586,3,0,3/3,11.898084119444771,0.3563987414364815,0.0,0.12935029999971448
LF2,100,0.0556096999989677,5.226775299997826,3,0,2/3,11.898084119444786,12.133372273761298,0.0,0.3264675999980682
LF2,200,0.07514229999833333,5.472957999998471,3,0,2/3,11.898084119444803,3.0649046675938902,0.0,0.9702170000000478
LF2,500,0.25178439999763214,6.689234199999191,3,0,0/3,11.898084119444803,,2.2737367544323206e-13,4.217988700002024
LF3,50,1.717751500000304,5.247721499999898,3,0,0/3,11.80265277831903,,4.547473508864641e-13,0.5224698999991233
LF3,100,1.8156410999999935,5.5907766000000265,3,0,0/3,11.802652778319082,,4.547473508864641e-13,0.8682359999984328
LF3,200,1.1661248000000342,5.665699799999857,3,0,0/3,11.802652778318283,,4.547473508864641e-13,2.9022828999986814
LF3,500,3.1309563999984675,8.058680200001618,3,0,0/3,11.80265277831981,,4.547473508864641e-13,15.81443930000205
