vehicles_per_class,log10_symmetry_group,labeled_variables,aggregate_variables,labeled_time_seconds,aggregate_time_seconds,aggregate_objective,labeled_objective,labeled_optimal
4,2.760422483423211,840,210,0.05600689999937458,0.01853520000076969,1180.3760752481367,1180.3760752481367,True
6,5.714664992862537,1260,210,0.2049578999994992,0.040145099999790546,1180.3760752481367,1180.3760752481367,True
8,9.211041046874936,1680,210,0.18672590000005584,0.02578890000040701,1180.3760752481367,1180.3760752481367,True
10,13.119526065753584,2100,210,0.5736928999995143,0.03620440000031522,1180.3760752481367,1180.3760752481367,True
12,17.360673928165284,2520,210,0.33991799999876093,0.042815100000552775,1180.3760752481367,1180.3760752481367,True
16,26.641239187558647,3360,210,0.48433489999933954,0.019335200000568875,1180.3760752481367,1180.3760752481367,True
20,36.772249233755424,4200,210,0.5533520999997563,0.04276990000016667,1180.3760752481367,1180.3760752481367,True
24,47.585411340326075,5040,210,0.8710424999999304,0.053691799999796785,1180.3760752481367,1180.3760752481367,True
30,64.84732014985144,6300,210,0.8651675000000978,0.027638399999887042,1180.3760752481367,1180.3760752481367,True
