single_criterion_solve,economic_cost,environmental_impact,transit_time_burden
economic_cost,1321.3923260249553,1296.3455040178321,371.6978115357296
environmental_impact,1603.0903396924555,931.1638860871559,308.67117261083297
transit_time_burden,1688.5753115143264,1102.1338297308978,273.47147833123927
